,min_dist_H1ESC,min_dist_HFFC6,quartile_cat_H1ESC,quartile_cat_HFFC6,log2FoldChange,padj
ENSG00000157593,2.4086595,1.3638599,mid,small,2.323097028646932,2.127645034056935e-80
ENSG00000122641,10.37499,0.6719123,large,small,3.782014670295091,2.0084806645965412e-45
ENSG00000103335,6.079418,1.8792938,large,small,2.728890510460753,4.6322011035458786e-144
ENSG00000260641,18.952814,0.8100208,large,small,2.1641007966665784,4.459634008889285e-06
ENSG00000093010,3.2651014,1.2367866,mid,small,4.216148542826466,2.816279241060642e-135
ENSG00000281392,8.950611,0.8150387,large,small,3.5352120708978063,0.010705061009969314
ENSG00000162520,2.1406736,0.526955,mid,small,9.13307328358035,3.952627676434402e-49
ENSG00000119986,2.921405,0.6403029,mid,small,2.299458170788728,9.545600437620076e-26
ENSG00000085998,1.7501884,1.3001208,mid,small,2.0864292596522573,5.046378916523058e-49
ENSG00000259370,3.5287886,0.23770389,mid,small,2.1423575188516506,0.009744820391549225
ENSG00000163297,7.159513,2.1376715,large,small,5.198368265334352,6.025753054281516e-188
ENSG00000171451,19.872488,0.25274268,large,small,2.309314971380376,1.7821272578937386e-79
ENSG00000237352,5.540393,0.1768097,large,small,4.533420002737167,0.04644436134004577
ENSG00000139926,5.9891624,0.21273012,large,small,5.003060278836316,4.138046156105172e-127
ENSG00000248323,8.19481,1.8845769,mid,small,4.077797509953583,0.0037964906007502616
ENSG00000100599,15.881561,0.3417853,large,small,4.359393632381127,2.0939762789537331e-69
ENSG00000134138,7.4711003,1.222121,large,small,7.098240104623108,5.495887045913219e-77
ENSG00000253837,5.557582,2.2164629,mid,small,7.6757006196428765,0.002894646594055924
ENSG00000166199,4.9993696,0.580942,large,small,2.0475210415046914,9.239933926284942e-19
ENSG00000180891,9.176035,1.5344318,large,small,2.5717975852991826,8.710256238194424e-72
ENSG00000259345,18.53153,0.77638984,large,small,3.96158245934126,1.2183089810263148e-21
ENSG00000048471,16.770462,0.3449676,large,small,2.1348179790053905,5.276127847381363e-49
ENSG00000139304,3.6248467,0.3417927,mid,small,8.035613868392588,1.145030687535489e-14
ENSG00000180914,1.388957,2.0173383,mid,small,8.365139795061681,3.872439274271207e-304
ENSG00000141232,1.3367039,1.536743,mid,small,2.1764506138142323,6.3350566251318185e-40
ENSG00000151388,8.900149,0.4295806,large,small,2.141781845494812,3.766016608063561e-29
ENSG00000138080,1.2649672,0.6393801,mid,small,6.326920674509867,3.309512667522738e-177
ENSG00000080573,5.5764656,2.1087546,large,small,2.1368239037754657,2.3060485956615757e-07
ENSG00000169499,2.746808,1.6490856,mid,small,4.789433071068664,4.17311074481943e-164
ENSG00000168386,11.853799,2.7310846,large,small,9.053517351094875,1.950252116122273e-56
ENSG00000137070,3.9136324,1.944338,mid,small,2.157754631937275,1.498479222962853e-27
ENSG00000111145,5.276883,1.22223,mid,small,2.5512057828980588,8.387857254297155e-60
ENSG00000205683,2.3191853,0.5224951,mid,small,5.468457863192294,1.197942535454429e-24
ENSG00000180628,17.652775,0.26022747,large,small,3.9908297098965124,8.401778477354115e-121
ENSG00000100647,2.1019657,1.6933004,mid,small,2.5708276094270186,3.05058821687352e-37
ENSG00000119943,2.67933,1.5591156,mid,small,2.1795713515280037,6.518985818421026e-20
ENSG00000145623,4.9530163,2.3873236,mid,small,4.064661779380531,4.2151628185838093e-137
