,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
34,Apoptotic Cleavage of Cellular Proteins,0.0362113333297527,0.388810549405847,2/38,23.405945992474862,CDH1;MAPT,0.012658227848101266,2,H1ESC
35,Nervous System Development,0.0364016287195638,0.388810549405847,9/567,6.916066865726043,RPS6KA5;LAMA1;CLTCL1;PRKCA;NRTN;MYL9;MYH10;NEO1;SPTBN2,0.056962025316455694,9,H1ESC
36,EPH-Ephrin Signaling,0.0364641474533267,0.388810549405847,3/92,14.224848080517376,CLTCL1;MYL9;MYH10,0.0189873417721519,3,H1ESC
37,Defective LFNG Causes SCDO3,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,NOTCH3,0.006329113924050633,1,H1ESC
38,Disinhibition of SNARE Formation,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,PRKCA,0.006329113924050633,1,H1ESC
39,Electric Transmission Across Gap Junctions,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,GJC1,0.006329113924050633,1,H1ESC
40,Serotonin and Melatonin Biosynthesis,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,TPH2,0.006329113924050633,1,H1ESC
41,"Sodium-coupled Sulphate, Di- and Tri-Carboxylate Transporters",0.0388844276575004,0.388810549405847,1/5,102.57514070844168,SLC13A3,0.006329113924050633,1,H1ESC
42,IRS Activation,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,INSR,0.006329113924050633,1,H1ESC
43,Transmission Across Electrical Synapses,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,GJC1,0.006329113924050633,1,H1ESC
44,VLDL Assembly,0.0388844276575004,0.388810549405847,1/5,102.57514070844168,APOC1,0.006329113924050633,1,H1ESC
45,Signaling by Rho GTPases,0.0409555513765763,0.388810549405847,10/672,6.255127640813397,PREX2;PARD6B;CDH1;BUB1B;PRKCA;RHPN2;MYL9;UACA;MYH10;ARHGAP23,0.06329113924050633,10,H1ESC
46,RET Signaling,0.0415976351984421,0.388810549405847,2/41,20.69948584300281,NRTN;PRKCA,0.012658227848101266,2,H1ESC
47,Diseases Associated With Glycosaminoglycan Metabolism,0.0415976351984421,0.388810549405847,2/41,20.69948584300281,CHST6;SDC4,0.012658227848101266,2,H1ESC
48,MET Promotes Cell Motility,0.0415976351984421,0.388810549405847,2/41,20.69948584300281,LAMA5;LAMA1,0.012658227848101266,2,H1ESC
49,Neuronal System,0.045045921169605,0.3935749745691655,7/411,6.91453857001628,GJC1;NRXN3;PRKCA;DLGAP1;MAPT;GABRG3;SHANK2,0.04430379746835443,7,H1ESC
50,Pre-NOTCH Processing in the Endoplasmic Reticulum,0.0464791191856751,0.3935749745691655,1/6,77.54756145881895,NOTCH3,0.006329113924050633,1,H1ESC
51,SARS-CoV-2 Targets PDZ Proteins in Cell-Cell Junction,0.0464791191856751,0.3935749745691655,1/6,77.54756145881895,CRB3,0.006329113924050633,1,H1ESC
