,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC,log2FoldChange,padj
ENSG00000227070,0.8169093,8.279712,small,large,-6.437999024616503,0.011187598542100217
ENSG00000252391,0.24858673,1.4176232,small,mid,-2.9982888442773143,0.002476228531344732
ENSG00000259772,0.42128497,2.8356278,small,mid,-7.570895783482538,7.140349811055059e-19
ENSG00000105122,0.23190527,8.717847,small,large,-9.242555780837646,1.871907749709438e-88
ENSG00000240527,0.2499688,1.966059,small,mid,-6.405578962962289,9.395456365120862e-06
ENSG00000181035,0.3563398,3.9148126,small,large,-2.4182382295051235,9.159482392220758e-48
ENSG00000105810,0.24017851,4.307659,small,mid,-2.833154761763143,0.0
ENSG00000167723,0.09814462,6.2811756,small,large,-3.1959325741508535,1.7938030724465658e-25
ENSG00000273151,0.5427054,3.1014533,small,mid,-4.633152450291525,2.9534937029952276e-05
ENSG00000146232,0.6103158,2.1533074,small,mid,-2.656578669116998,7.9610493823619085e-115
ENSG00000076662,0.36153638,2.2323356,small,mid,-3.834380370137812,3.1261820530180376e-281
ENSG00000123146,0.63804686,2.1580446,small,mid,-5.510245341412882,1.7527314380259336e-57
ENSG00000126353,0.7741408,2.2715662,small,mid,-10.919295733398297,4.1130214786114026e-75
ENSG00000164776,0.09527451,3.5716524,small,mid,-2.088327704070911,0.012325034654011096
ENSG00000154237,0.73406976,1.8282504,small,mid,-4.115155446095949,0.0
ENSG00000142227,0.41972607,4.0509257,small,large,-3.2806214039313497,1.1873612522177014e-124
ENSG00000225335,0.27864185,1.1790198,small,mid,-2.5588721812021666,8.754103839264707e-05
ENSG00000153898,0.712531,13.106581,small,large,-4.533304433753206,7.72141096178591e-296
ENSG00000230155,0.4957143,8.059441,small,large,-6.026125099277974,3.213627313991864e-05
ENSG00000102879,0.47412434,12.828857,small,large,-7.156600465137598,0.0
ENSG00000066336,0.6642886,2.3575222,small,mid,-8.86063339111453,6.142720306251418e-18
ENSG00000285802,0.8605022,1.8360883,small,mid,-4.779055632174239,0.040966718118959584
ENSG00000254777,0.19198085,6.692396,small,large,-7.457155044475386,0.0038375169700810017
ENSG00000221887,0.5472144,7.1025567,small,large,-3.374353010334673,1.8246555469631594e-41
ENSG00000108639,0.6285798,3.242887,small,mid,-3.101174613874277,0.0
ENSG00000118308,0.33793718,3.9879336,small,mid,-11.665549937588073,3.406234603611143e-44
ENSG00000131401,0.76170176,4.0464983,small,large,-12.741545740491423,7.830676328942151e-19
ENSG00000112799,1.005507,9.467963,small,large,-13.382827186508248,3.3297562716803024e-07
ENSG00000276116,0.76238,1.5599234,small,mid,-2.837450162219726,1.4761910252934244e-11
ENSG00000245479,0.23457077,2.4416747,small,mid,-3.86902722567658,0.006366356915569171
ENSG00000010310,0.6069721,4.3489747,small,large,-4.4813426460658246,2.6376876208450803e-67
ENSG00000179583,0.90821207,12.237092,small,large,-9.818815795763262,1.9830381237024783e-119
ENSG00000261114,0.35313976,2.4667459,small,mid,-2.0608994810129997,0.010134154401815898
ENSG00000205593,0.20990154,6.6170464,small,large,-4.44286075568701,4.261077990225244e-85
