,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number,CellType
769,Integration of Energy Metabolism,0.8237190353805669,0.8814114191815404,1/108,0.1119165428194638,GNG7,0.0026246719160104987,1,GM12878
770,Nucleotide Excision Repair,0.8237190353805669,0.8814114191815404,1/108,0.1119165428194638,POLD1,0.0026246719160104987,1,GM12878
771,Metabolism,0.8255787972852178,0.8821385543679885,30/2181,0.1627235731191622,GBE1;HAAO;PIK3CD;AGPAT3;PIK3R6;PIK3R5;SMPD3;NT5E;PNP;PHKG1;ALOX5;GNG7;SLCO2B1;POLD1;UCP2;PLCG2;NUDT19;NUDT18;ST3GAL6;SLC25A42;ARSA;CERS4;CHST6;DGAT2;GCH1;NCOA3;PLAAT2;POMC;ALDOC;ADA,0.07874015748031496,30,GM12878
772,RSV-host Interactions,0.8265370939714607,0.8821385543679885,1/109,0.1089219585667913,IFNAR2,0.0026246719160104987,1,GM12878
773,"Cell Cycle, Mitotic",0.8324688442298014,0.8873214424930053,6/516,0.1325553541586192,CDK6;CCNE1;POLD1;MYBL2;MCM5;TUBA8,0.015748031496062992,6,GM12878
774,SARS-CoV-1-host Interactions,0.8347246460040434,0.8885778489720462,1/112,0.1004793582361846,NFKB1,0.0026246719160104987,1,GM12878
775,Cellular Responses to Stimuli,0.8391145244352379,0.8920033718212297,11/887,0.1349261821773706,KDM6B;MEF2C;CRTC3;CDK6;CCNE1;GNG7;HTRA2;PIK3CD;NFKB1;TUBA8;MAP2K6,0.028871391076115485,11,GM12878
776,HCMV Early Events,0.8401049938243581,0.8920033718212297,2/205,0.1058114063899407,NFKB1;TUBA8,0.005249343832020997,2,GM12878
777,EML4 and NUDC in Mitotic Spindle Formation,0.8450451691644182,0.8960954557334768,1/116,0.0903689984229024,TUBA8,0.0026246719160104987,1,GM12878
778,PPARA Activates Gene Expression,0.8475232970031039,0.8975696020892949,1/117,0.0880272866197603,NCOA3,0.0026246719160104987,1,GM12878
779,DNA Replication Pre-Initiation,0.8499619151551453,0.8980822001701848,1/118,0.0857547924932075,MCM5,0.0026246719160104987,1,GM12878
780,Cell Junction Organization,0.8523616517978845,0.8980822001701848,1/119,0.0835491317151368,CDH1,0.0026246719160104987,1,GM12878
781,KEAP1-NFE2L2 Pathway,0.8523616517978845,0.8980822001701848,1/119,0.0835491317151368,NFKB1,0.0026246719160104987,1,GM12878
782,Regulation of Lipid Metabolism by PPARalpha,0.8523616517978845,0.8980822001701848,1/119,0.0835491317151368,NCOA3,0.0026246719160104987,1,GM12878
783,Organelle Biogenesis and Maintenance,0.8540810469238321,0.8987459996328592,3/297,0.0990623089432992,MEF2C;CRTC3;TUBA8,0.007874015748031496,3,GM12878
784,Binding and Uptake of Ligands by Scavenger Receptors,0.8593337031100163,0.9031214077270872,1/122,0.0773107275114614,SAA1,0.0026246719160104987,1,GM12878
785,Host Interactions of HIV Factors,0.8681218208875728,0.910038757601331,1/126,0.0697997239293944,HCK,0.0026246719160104987,1,GM12878
786,Resolution of Sister Chromatid Cohesion,0.8681218208875728,0.910038757601331,1/126,0.0697997239293944,TUBA8,0.0026246719160104987,1,GM12878
787,Reproduction,0.8702319494548604,0.91109309428967,1/127,0.0680535748460397,BLM,0.0026246719160104987,1,GM12878
788,Formation of the Cornified Envelope,0.8743517636730744,0.9142461407227964,1/129,0.0647073303212211,TGM5,0.0026246719160104987,1,GM12878
789,DNA Repair,0.8760274944217086,0.914838839111278,3/312,0.0790312128912216,BLM;DCLRE1C;POLD1,0.007874015748031496,3,GM12878
790,SARS-CoV-2 Infection,0.8773813336074817,0.915094311284668,3/313,0.0778531607972302,IFNAR2;PTPN6;NOD2,0.007874015748031496,3,GM12878
791,Respiratory Syncytial Virus Infection Pathway,0.8822043131011968,0.9183029181250142,1/133,0.0585563718778489,IFNAR2,0.0026246719160104987,1,GM12878
792,Cellular Responses to Stress,0.8826838958462258,0.9183029181250142,9/787,0.0883143797071662,KDM6B;MEF2C;CRTC3;CDK6;CCNE1;HTRA2;NFKB1;TUBA8;MAP2K6,0.023622047244094488,9,GM12878
793,Beta-catenin Independent WNT Signaling,0.8840897738060223,0.9186071327329576,1/134,0.0571232098722484,GNG7,0.0026246719160104987,1,GM12878
794,Cell Surface Interactions at the Vascular Wall,0.887620544744178,0.9201143277785744,2/233,0.0635314819660801,PTPN6;ITGAL,0.005249343832020997,2,GM12878
795,Signaling by Hedgehog,0.8877709150445398,0.9201143277785744,1/136,0.0543732944350295,EVC,0.0026246719160104987,1,GM12878
796,Neddylation,0.8890480040639487,0.92028181098213,2/234,0.0624017545877848,FBXO27;ASB2,0.005249343832020997,2,GM12878
797,RHO GTPases Activate Formins,0.8930752423936009,0.9232920739031588,1/139,0.0505217017968469,TUBA8,0.0026246719160104987,1,GM12878
798,Macroautophagy,0.8997609065064425,0.9290397345028972,1/143,0.0458509830496683,TUBA8,0.0026246719160104987,1,GM12878
799,PTEN Regulation,0.9029457766605676,0.9311628321812104,1/145,0.0436971750140903,CHD3,0.0026246719160104987,1,GM12878
800,Diseases of Glycosylation,0.904500177913134,0.9316013068393704,1/146,0.0426625248128316,CHST6,0.0026246719160104987,1,GM12878
801,FCERI Mediated NF-kB Activation,0.9060297605961862,0.9320131577205156,1/147,0.0416549313492408,NFKB1,0.0026246719160104987,1,GM12878
802,SLC-mediated Transmembrane Transport,0.9085383743961472,0.9334298367083704,2/249,0.047767367873505,SLCO2B1;SLC1A4,0.005249343832020997,2,GM12878
803,Metabolism of Steroids,0.9174190674705736,0.9407100996640432,1/155,0.0344777775589857,POMC,0.0026246719160104987,1,GM12878
804,HCMV Infection,0.9197035955034136,0.9407100996640432,2/259,0.0400420402208927,NFKB1;TUBA8,0.005249343832020997,2,GM12878
805,SARS-CoV-1 Infection,0.9200444502734636,0.9407100996640432,1/157,0.0329039454459893,NFKB1,0.0026246719160104987,1,GM12878
806,Autophagy,0.9213257703376326,0.9407100996640432,1/158,0.0321467092961056,TUBA8,0.0026246719160104987,1,GM12878
807,Factors Involved in Megakaryocyte Development and Platelet Production,0.9213257703376326,0.9407100996640432,1/158,0.0321467092961056,TUBA8,0.0026246719160104987,1,GM12878
808,Viral Infection Pathways,0.9404344291424122,0.9590338739709396,11/1029,0.0403435451185448,IFNAR2;HCK;SYK;PLCG2;BLNK;PTPN6;NOD2;CHD3;JAK3;NFKB1;TUBA8,0.028871391076115485,11,GM12878
809,Separation of Sister Chromatids,0.9421292269396894,0.9595760644756096,1/177,0.0208418387296383,TUBA8,0.0026246719160104987,1,GM12878
810,Signaling by WNT,0.9445344545960443,0.960839611642092,2/287,0.0245803511624688,GNG7;RUNX3,0.005249343832020997,2,GM12878
811,TCF Dependent Signaling in Response to WNT,0.95233956310906,0.9675863787745992,1/189,0.0159735999617056,RUNX3,0.0026246719160104987,1,GM12878
812,Cilium Assembly,0.9601124482965848,0.9738073152196272,1/200,0.0125715793182226,TUBA8,0.0026246719160104987,1,GM12878
813,Cellular Response to Chemical Stress,0.9613833568569472,0.9738073152196272,1/202,0.0120407650154922,NFKB1,0.0026246719160104987,1,GM12878
814,Mitotic Prometaphase,0.962003590186662,0.9738073152196272,1/203,0.0117843432602338,TUBA8,0.0026246719160104987,1,GM12878
815,Keratinization,0.969712848403366,0.9791915210848452,1/217,0.0087434623802794,TGM5,0.0026246719160104987,1,GM12878
816,Mitotic Anaphase,0.9716137818187508,0.9791915210848452,1/221,0.0080362089917962,TUBA8,0.0026246719160104987,1,GM12878
817,Biological Oxidations,0.972070128204228,0.9791915210848452,1/222,0.0078689944632977,POMC,0.0026246719160104987,1,GM12878
818,Mitotic Metaphase and Anaphase,0.972070128204228,0.9791915210848452,1/222,0.0078689944632977,TUBA8,0.0026246719160104987,1,GM12878
819,HIV Infection,0.9742444545723974,0.9801849695393022,1/227,0.0070861495903862,HCK,0.0026246719160104987,1,GM12878
820,Aerobic Respiration and Respiratory Electron Transport,0.9849219161493146,0.9897205612949872,1/260,0.0035941678942886,UCP2,0.0026246719160104987,1,GM12878
821,Metabolism of Amino Acids and Derivatives,0.9969399945585236,0.9999670399605628,1/358,0.0005233347140959767,HAAO,0.0026246719160104987,1,GM12878
822,M Phase,0.9975647056963188,0.9999670399605628,1/372,0.0004003615848471125,TUBA8,0.0026246719160104987,1,GM12878
823,Metabolism of RNA,0.999941729093928,0.9999670399605628,2/761,9.195080830522854e-06,APOBEC3H;ADARB1,0.005249343832020997,2,GM12878
824,Sensory Perception,0.9999670399605628,0.9999670399605628,1/640,3.0986328946774374e-06,CALHM1,0.0026246719160104987,1,GM12878
