Experiment,Jump set,Gene count,Term,P-value,Adjusted P-value,Overlap,Combined Score,Genes,Genes Ratio,Genes Number
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,FCGR3A-mediated IL10 Synthesis,0.0460150799772811,0.2753561119928547,4/121,9.492984195241844,FGR;HCK;SYK;PLCG2,0.01652892561983471,4
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,"Antigen Presentation Folding, Assembly and Peptide Loading of Class I MHC",0.0461976201184025,0.2753561119928547,2/31,19.035974395141615,ERAP1;TAP1,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,G-protein Beta Gamma Signalling,0.0489255698209567,0.2887567944334898,2/32,18.057182936019764,PIK3R6;PIK3R5,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,GPCR Downstream Signalling,0.0506437775755759,0.289208068498748,12/633,5.25826184920828,FGD3;POMC;PRKCH;GIPR;PRKCE;PTAFR;ARHGEF3;SAA1;RGS20;CCR7;PIK3R6;PIK3R5,0.049586776859504134,12
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Sialic Acid Metabolism,0.051710493102642,0.289208068498748,2/33,17.15322029649881,ST8SIA4;ST3GAL6,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Signaling by GPCR,0.0519657660546909,0.289208068498748,13/706,5.065616473656621,PRKCH;GIPR;PRKCE;PTAFR;PIK3R6;PIK3R5;FGD3;POMC;ADGRE5;ARHGEF3;SAA1;RGS20;CCR7,0.05371900826446281,13
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,NGF-independant TRKA Activation,0.054286564352755,0.289208068498748,1/5,65.17095495646203,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,NTRK2 Activates RAC1,0.054286564352755,0.289208068498748,1/5,65.17095495646203,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Biosynthesis of E-series 18(S)-resolvins,0.054286564352755,0.289208068498748,1/5,65.17095495646203,ALOX5,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RUNX3 Regulates BCL2L11 (BIM) Transcription,0.054286564352755,0.289208068498748,1/5,65.17095495646203,RUNX3,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Drug-mediated Inhibition of CDK4 CDK6 Activity,0.054286564352755,0.289208068498748,1/5,65.17095495646203,CDK6,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,The Fatty Acid Cycling Model,0.054286564352755,0.289208068498748,1/5,65.17095495646203,UCP2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Toxicity of Botulinum Toxin Type E (botE),0.054286564352755,0.289208068498748,1/5,65.17095495646203,SV2B,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,MECP2 Regulates Transcription Factors,0.054286564352755,0.289208068498748,1/5,65.17095495646203,MEF2C,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Nuclear Events Stimulated by ALK Signaling in Cancer,0.0574449357700076,0.2971128527683165,2/35,15.539959180844097,IRF4;PTPN6,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Nucleotide Catabolism,0.0574449357700076,0.2971128527683165,2/35,15.539959180844097,NT5E;NUDT18,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,CD28 Co-Stimulation,0.0574449357700076,0.2971128527683165,2/35,15.539959180844097,GRAP2;MAP3K14,0.008264462809917356,2
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Biosynthesis of the N-glycan Precursor (Dolichol LLO) and Transfer to a Nascent Protein,0.0577445245413505,0.2971128527683165,3/79,10.127022417731112,FCSK;ST8SIA4;ST3GAL6,0.012396694214876033,3
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activated NTRK2 Signals Through CDK5,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Activation of TRKA Receptors,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,NTRK2,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Biosynthesis of EPA-derived SPMs,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,ALOX5,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,Biosynthesis of Lipoxins (LX),0.0647865856624797,0.309949798390349,1/6,48.97005710035234,ALOX5,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,CLEC7A Inflammasome Pathway,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,NFKB1,0.004132231404958678,1
GM12878 small vs H1ESC mid/large,with mids (small -> mid/large),242,RUNX1 Regulates Transcription of Genes Involved in BCR Signaling,0.0647865856624797,0.309949798390349,1/6,48.97005710035234,PAX5,0.004132231404958678,1
