,min_dist_HFFC6,min_dist_GM12878,quartile_cat_HFFC6,quartile_cat_GM12878,log2FoldChange,padj
ENSG00000101335,0.542659,5.423455,small,large,-9.57980154352788,1.5672482043875314e-281
ENSG00000251348,1.7256807,3.5038843,small,mid,-2.193267384010289,0.0002071509017974224
ENSG00000180891,1.5344318,2.3933032,small,mid,-2.7159944312638404,1.672086278221727e-67
ENSG00000231312,1.9239959,8.339118,small,large,-5.860460145099913,9.144434420983777e-14
ENSG00000197712,1.6560128,4.822628,small,large,-5.79319998308191,5.175361573983987e-218
ENSG00000165912,0.49184433,4.222302,small,large,-4.52334234458411,3.8973993808427915e-25
ENSG00000121753,1.0978104,1.5699699,small,mid,-5.470416802434674,3.1342716970717942e-47
ENSG00000130513,0.5407482,4.79321,small,large,-3.9462203364928707,7.553183396858698e-34
ENSG00000157227,1.6603414,1.355045,small,mid,-7.889488207928614,0.0
ENSG00000179954,2.015373,6.231828,small,large,-8.099330850563819,1.1683016142415006e-129
ENSG00000205763,1.6172415,1.819348,small,mid,-2.611367345744678,2.1505620566558504e-18
ENSG00000168785,0.8100208,0.971134,small,mid,-7.563857650621245,4.039832590357298e-165
ENSG00000198795,1.7024692,6.0642424,small,large,-5.8279396195410245,2.114237563356365e-10
ENSG00000138131,1.7796973,2.5521746,small,mid,-11.314168287394704,4.606697557467936e-26
ENSG00000166813,1.7802659,5.6084723,small,large,-7.050177555892847,7.03135773902411e-124
ENSG00000154229,0.8382095,9.745149,small,large,-5.886899686212245,9.518588636035334e-255
ENSG00000145623,2.3873236,10.516196,small,large,-8.144147318377277,4.650921455203633e-104
ENSG00000222009,0.8026363,1.5021348,small,mid,-3.558617125092244,5.018915262332137e-32
ENSG00000259146,1.5174984,1.648579,small,mid,-4.025966569988826,1.6382980354199928e-10
ENSG00000165731,0.49143425,2.6316552,small,mid,-3.0358993444245472,0.003269882327940559
ENSG00000225339,0.5599316,1.8140206,small,mid,-2.7192411317206626,3.9714926401010315e-11
ENSG00000163297,2.1376715,2.9768414,small,mid,-4.267083280260702,2.5319544861578065e-145
ENSG00000061273,1.2194893,2.2602558,small,mid,-2.8979522096744277,5.841589995108801e-97
ENSG00000011028,0.23980097,4.838825,small,large,-8.746082495670983,0.0
ENSG00000100852,0.72872615,5.1508904,small,large,-2.827438783658164,5.787359636923885e-72
ENSG00000185561,1.5179127,3.2148468,small,mid,-4.959011870001991,8.177037217035755e-41
ENSG00000175600,0.398891,5.6728816,small,large,-4.608581950426166,2.9070959951001037e-20
ENSG00000271978,1.3339962,3.61691,small,large,-2.064370681041921,0.04065687326549074
ENSG00000039560,0.8080796,13.042002,small,large,-6.753273597739137,0.0
ENSG00000128829,1.7713333,1.618622,small,mid,-2.1168007605287715,8.381651925142311e-65
ENSG00000103196,0.84372693,13.039826,small,large,-6.581928471527163,1.9202186291532553e-69
ENSG00000204388,2.9087284,1.8336923,small,mid,-2.044026179093058,1.3571695585035455e-31
ENSG00000148680,0.37428096,0.82603854,small,mid,-4.439072067672716,0.0030406914663683514
ENSG00000162520,0.526955,2.4200318,small,mid,-11.716045246839343,1.081022126171419e-15
ENSG00000008441,1.1654608,4.149044,small,large,-6.790328470682979,8.973810347483293e-240
ENSG00000256229,0.62756413,2.1213517,small,mid,-3.9724575650183165,9.334012969959876e-16
ENSG00000033122,1.8229254,15.327475,small,large,-4.0838888132898195,0.0058331080926920225
ENSG00000279170,0.9281051,1.916043,small,mid,-2.469368064475595,0.013824328844175096
ENSG00000099625,2.297057,2.1041296,small,mid,-3.5528766393840563,3.642828831192084e-41
ENSG00000133216,1.4609445,4.3202205,small,large,-3.027965275223217,2.7880372949240265e-14
ENSG00000150093,0.8453028,1.8485641,small,mid,-7.1580305866604705,0.0
ENSG00000148484,1.1359413,6.266216,small,large,-2.067248448832781,4.643258030633015e-59
ENSG00000121769,1.689236,3.1861868,small,mid,-3.4534509355932075,8.779371664618049e-05
ENSG00000172159,0.7809217,0.91618395,small,mid,-5.442623338097309,4.513202069534936e-28
ENSG00000069869,0.30138388,15.377783,small,large,-2.8032431148557966,2.382436623761994e-63
ENSG00000181894,1.5503533,0.9798733,small,mid,-4.197550974712835,1.7028660319959594e-54
ENSG00000232295,1.3315909,8.506262,small,large,-5.851512450292815,0.02876376781645794
ENSG00000197826,2.1676378,7.1946797,small,large,-5.904312752141583,6.975925967712659e-08
ENSG00000171517,1.7070787,10.993893,small,large,-2.8957941706041033,0.0004496795726003374
ENSG00000187720,1.4512608,28.76417,small,large,-8.900783198479331,1.0522155182046128e-95
ENSG00000104611,1.264821,78.791565,small,large,-10.180209316983621,5.397286483032099e-60
ENSG00000169490,0.33193743,2.1755517,small,mid,-2.042565643167767,4.760850106386586e-26
ENSG00000107796,0.39236712,0.797493,small,mid,-2.039159434570674,4.726940511367164e-21
ENSG00000141198,2.164788,15.820173,small,large,-3.190605023282685,1.2711838413116034e-34
ENSG00000198792,1.9165589,4.9815974,small,large,-2.6227980031827647,9.154764437125739e-88
ENSG00000165521,0.8982601,8.044068,small,large,-6.0843603147177445,1.8322354635769332e-63
