,min_dist_GM12878,min_dist_H1ESC,quartile_cat_GM12878,quartile_cat_H1ESC
ENSG00000166482,6.3236017,0.34754068,large,small
ENSG00000105278,5.617539,0.28144467,large,small
ENSG00000173894,5.02388,0.54554874,large,small
ENSG00000166405,7.15875,0.37682378,large,small
ENSG00000187105,4.7242055,3.6256857,large,mid
ENSG00000223802,6.699916,0.6703758,large,small
ENSG00000268218,7.2231035,0.51392424,large,small
ENSG00000175894,6.8618803,2.192711,large,mid
ENSG00000186994,3.4124243,1.1878242,large,mid
ENSG00000228624,107.642166,80.591774,large,mid
ENSG00000132640,25.06214,3.970533,large,mid
ENSG00000130182,3.9172757,2.5059059,large,mid
ENSG00000260136,6.0094104,3.2387338,large,mid
ENSG00000141622,11.113791,0.538321,large,small
ENSG00000074219,7.071162,1.8481845,large,mid
ENSG00000205726,7.822379,2.719865,large,mid
ENSG00000126351,4.59896,2.61712,large,mid
ENSG00000187720,28.76417,1.7269044,large,mid
ENSG00000092529,5.619361,1.0322766,large,small
ENSG00000203326,6.6706147,2.0747364,large,mid
ENSG00000108309,5.1100802,2.1491313,large,mid
ENSG00000131142,10.802402,1.2951714,large,mid
ENSG00000119698,3.9755387,0.6569925,large,small
ENSG00000130545,3.4930856,0.2601761,large,small
ENSG00000198453,3.788271,2.6301227,large,mid
ENSG00000183307,7.178421,0.7920891,large,small
ENSG00000258168,17.500027,8.607671,large,mid
ENSG00000198133,3.948085,3.0135682,large,mid
ENSG00000008283,4.7765937,2.6687958,large,mid
ENSG00000151276,184.60757,0.39784014,large,small
ENSG00000182871,9.31963,0.39065838,large,small
ENSG00000252835,3.7299662,3.079144,large,mid
ENSG00000027697,107.642166,80.591774,large,mid
ENSG00000111305,16.415451,0.5842562,large,small
ENSG00000181588,6.5341644,0.5001927,large,small
ENSG00000170579,8.642401,0.15863845,large,small
ENSG00000130340,107.642166,80.591774,large,mid
ENSG00000178531,3.3315234,2.2894337,large,mid
ENSG00000258461,8.119329,3.6691713,large,mid
ENSG00000142530,5.216254,2.4985795,large,mid
ENSG00000100320,8.838108,0.3059444,large,small
ENSG00000275234,5.659989,1.2663177,large,mid
ENSG00000172348,14.584038,16.834415,large,mid
ENSG00000185250,107.642166,80.591774,large,mid
ENSG00000140022,4.269453,0.2875583,large,small
ENSG00000277200,8.385642,1.3390603,large,mid
ENSG00000230943,107.642166,80.591774,large,mid
ENSG00000087303,8.094201,1.1320684,large,small
ENSG00000169136,3.474014,2.1911538,large,mid
ENSG00000205832,3.8607507,2.4392707,large,mid
ENSG00000089723,5.893778,3.1271615,large,mid
ENSG00000279202,5.9989696,0.24291506,large,small
ENSG00000183655,11.585196,0.57564586,large,small
ENSG00000261744,7.0396953,1.3270835,large,mid
ENSG00000072071,4.2355247,0.6082976,large,small
ENSG00000166813,5.6084723,3.215319,large,mid
ENSG00000118515,107.642166,80.591774,large,mid
ENSG00000183762,8.638603,3.1080587,large,mid
ENSG00000101331,6.482229,2.649736,large,mid
ENSG00000129951,6.702248,0.38997912,large,small
ENSG00000107854,9.183132,1.7587663,large,small
ENSG00000168143,17.998001,20.494194,large,mid
ENSG00000062038,10.062568,2.3783374,large,mid
ENSG00000184949,3.5855176,3.7593832,large,mid
ENSG00000130584,5.400769,0.7127969,large,small
ENSG00000185507,7.7785826,5.972716,large,mid
ENSG00000161544,4.8906307,1.1936443,large,mid
ENSG00000259416,7.353219,1.8666688,large,mid
ENSG00000129422,13.354323,14.572497,large,mid
ENSG00000167371,4.6791277,2.3227472,large,mid
ENSG00000131018,107.642166,80.591774,large,mid
ENSG00000124171,5.150925,0.6193617,large,small
ENSG00000131899,4.8916054,0.6954837,large,small
ENSG00000067141,6.2962737,0.3913263,large,small
ENSG00000100490,11.259307,1.6659259,large,mid
ENSG00000176490,5.238159,0.6588388,large,small
ENSG00000135549,107.642166,80.591774,large,mid
ENSG00000171791,4.2264996,5.2798743,large,mid
ENSG00000057657,107.642166,80.591774,large,mid
ENSG00000070371,13.913616,0.9814672,large,small
ENSG00000162105,19.140303,0.8538308,large,small
ENSG00000237742,107.642166,80.591774,large,mid
ENSG00000230091,6.643457,3.1995063,large,mid
ENSG00000185737,14.67188,1.6499661,large,small
ENSG00000261366,54.11114,22.295298,large,mid
ENSG00000139946,13.712061,0.3248166,large,small
ENSG00000132359,7.9169984,3.6393497,large,mid
ENSG00000196218,7.848329,0.3268043,large,small
ENSG00000280163,4.914782,3.050417,large,mid
ENSG00000100385,5.3277516,1.5534543,large,mid
ENSG00000234147,107.642166,80.591774,large,mid
ENSG00000259005,6.564288,2.800737,large,mid
ENSG00000141314,4.5241265,3.5448208,large,mid
ENSG00000174939,7.9511805,2.8806477,large,mid
ENSG00000154229,9.727615,0.6824833,large,small
ENSG00000146426,107.642166,80.591774,large,mid
ENSG00000184304,4.1067524,2.8759763,large,mid
ENSG00000253361,15.18239,0.9363308,large,small
ENSG00000167105,4.0849013,1.9491751,large,mid
ENSG00000146411,107.642166,80.591774,large,mid
ENSG00000135540,107.642166,80.591774,large,mid
ENSG00000067715,55.07508,2.9485703,large,mid
ENSG00000171466,4.5513988,0.25194988,large,small
ENSG00000182240,31.746092,1.3277712,large,mid
ENSG00000272787,8.362146,3.2607086,large,mid
ENSG00000167772,3.773369,0.9857977,large,mid
ENSG00000267882,3.653754,1.5705695,large,mid
ENSG00000185869,3.788271,2.6301227,large,mid
ENSG00000099954,11.739549,2.5521886,large,mid
ENSG00000180336,3.894754,3.8228664,large,mid
ENSG00000171119,3.3612225,0.2149883,large,small
ENSG00000213799,12.455669,0.25456673,large,small
ENSG00000099365,4.3064437,2.3641305,large,mid
ENSG00000056487,8.023728,0.6018664,large,small
ENSG00000133687,19.389957,10.456529,large,mid
ENSG00000053918,6.535101,5.455063,large,mid
ENSG00000050820,5.579579,0.8154547,large,small
ENSG00000074706,107.642166,80.591774,large,mid
ENSG00000108950,4.462733,1.9080217,large,mid
ENSG00000140090,6.953617,2.5140321,large,mid
ENSG00000128849,7.9536953,0.28462714,large,small
ENSG00000185532,9.825694,8.749567,large,mid
ENSG00000198346,7.941243,0.26410592,large,small
ENSG00000133026,10.132678,0.36151078,large,small
ENSG00000120278,107.642166,80.591774,large,mid
ENSG00000065717,5.3172593,0.34776562,large,small
ENSG00000128016,4.4674764,1.2469661,large,mid
ENSG00000112419,107.642166,80.591774,large,mid
ENSG00000185052,3.6005988,0.9359107,large,small
ENSG00000264164,5.5266633,0.7228783,large,small
ENSG00000182963,8.656432,0.8601258,large,small
ENSG00000130477,5.4935083,1.3928077,large,mid
ENSG00000196569,107.642166,80.591774,large,mid
ENSG00000185942,13.7134285,1.2787766,large,small
ENSG00000035862,10.020646,0.6871814,large,small
ENSG00000176387,3.8428028,2.5763037,large,mid
ENSG00000169918,13.21037,3.5149283,large,mid
ENSG00000149054,17.84124,0.2350766,large,small
ENSG00000080644,4.525849,1.3950847,large,mid
ENSG00000224597,6.9858546,8.052398,large,mid
ENSG00000226149,107.642166,80.591774,large,mid
ENSG00000077616,7.345209,0.2015585,large,small
ENSG00000130208,4.342861,0.52164197,large,small
ENSG00000262246,3.9459906,0.37112918,large,small
ENSG00000100146,6.840131,1.6185514,large,mid
ENSG00000160113,5.412351,0.98877305,large,mid
ENSG00000021300,6.1164794,6.4424686,large,mid
ENSG00000165548,5.376458,3.038295,large,mid
ENSG00000137177,17.034342,0.22893676,large,small
ENSG00000167895,4.8802657,1.6182582,large,mid
ENSG00000103742,3.8290143,0.7734844,large,small
ENSG00000233098,14.653905,1.8791742,large,mid
ENSG00000104112,8.94031,0.32920688,large,small
ENSG00000196724,9.778751,0.34506622,large,small
ENSG00000050165,8.858669,0.72400093,large,small
ENSG00000182621,9.889103,3.474093,large,mid
ENSG00000026652,107.642166,80.591774,large,mid
ENSG00000164674,107.642166,80.591774,large,mid
ENSG00000105613,3.5318966,1.1945257,large,mid
ENSG00000088002,8.157335,0.7464312,large,small
ENSG00000125850,10.235556,1.3208477,large,mid
ENSG00000236591,107.642166,80.591774,large,mid
ENSG00000118689,107.642166,80.591774,large,mid
ENSG00000141447,9.89534,0.31387648,large,small
ENSG00000244274,5.0364795,3.7992022,large,mid
ENSG00000124092,7.5842347,1.0116044,large,small
ENSG00000124203,9.643087,0.3008913,large,small
ENSG00000124104,3.7192965,0.34611556,large,small
ENSG00000125864,9.494063,2.5862463,large,mid
ENSG00000172247,6.487529,2.3066006,large,mid
ENSG00000103472,6.9548893,3.1035101,large,mid
ENSG00000011028,4.838825,0.56450033,large,small
ENSG00000131016,107.642166,80.591774,large,mid
ENSG00000112137,15.301797,7.1225157,large,mid
ENSG00000171724,13.210955,2.8617594,large,mid
ENSG00000183579,8.131021,3.4161193,large,mid
ENSG00000111961,107.642166,80.591774,large,mid
ENSG00000111879,107.642166,80.591774,large,mid
ENSG00000130702,6.7498317,0.031570405,large,small
ENSG00000132386,6.5802293,3.4123363,large,mid
ENSG00000011590,3.4416704,0.6394193,large,small
ENSG00000259240,8.589309,3.3335972,large,mid
ENSG00000197249,7.0079174,2.4587693,large,mid
ENSG00000099974,7.9248657,2.442687,large,mid
ENSG00000197442,107.642166,80.591774,large,mid
ENSG00000101188,7.8979664,0.32298717,large,small
ENSG00000054690,3.544766,0.66472644,large,small
ENSG00000284685,3.703151,1.9870152,large,mid
ENSG00000124145,5.74757,0.78051263,large,small
ENSG00000181885,6.3982134,0.8524378,large,small
ENSG00000151208,11.028871,6.363763,large,mid
ENSG00000235142,107.642166,80.591774,large,mid
ENSG00000074657,5.0281887,0.43464386,large,small
ENSG00000270964,4.6239486,3.5138369,large,mid
ENSG00000111816,107.642166,80.591774,large,mid
ENSG00000248995,17.432058,2.546823,large,small
ENSG00000118495,107.642166,80.591774,large,mid
ENSG00000054793,8.728855,0.29886296,large,small
ENSG00000146376,107.642166,80.591774,large,mid
ENSG00000267383,3.0901685,2.1484747,large,mid
ENSG00000205220,4.440657,1.1517603,large,mid
ENSG00000186297,16.505348,2.5677009,large,mid
ENSG00000160185,3.435042,5.376554,large,mid
ENSG00000198795,6.0642424,0.02772172,large,small
ENSG00000026103,6.835334,8.282697,large,mid
ENSG00000112320,107.642166,80.591774,large,mid
ENSG00000197077,4.3390703,0.7042831,large,small
ENSG00000142552,3.5853522,2.292984,large,mid
ENSG00000280211,6.6931257,0.5929369,large,small
ENSG00000128394,3.7438157,0.30471763,large,small
