,min_dist_other,min_dist_self,quartile_cat_other,quartile_cat_self,contrasted_with
ENSG00000228768,4.767604,2.960382,large,mid,H1ESC
ENSG00000167641,3.1139352,4.2502494,large,mid,H1ESC
ENSG00000276337,4.1161985,1.2215275,large,small,H1ESC
ENSG00000142549,4.5910134,4.4146023,large,mid,H1ESC
ENSG00000132510,4.0220366,1.361842,large,small,H1ESC
ENSG00000259426,6.5328345,1.0317522,large,small,H1ESC
ENSG00000105479,4.0509257,2.6014752,large,mid,H1ESC
ENSG00000279159,8.180193,3.8144507,large,mid,H1ESC
ENSG00000125730,3.365886,1.6540583,large,small,H1ESC
ENSG00000140450,13.107714,2.4783132,large,mid,H1ESC
ENSG00000142173,10.258914,0.5961341,large,small,H1ESC
ENSG00000103066,6.4358125,5.8280315,large,mid,H1ESC
ENSG00000150051,10.632737,2.468344,large,small,H1ESC
ENSG00000129009,5.8037987,1.7227502,large,mid,H1ESC
ENSG00000180891,9.176035,1.5344318,large,small,H1ESC
ENSG00000259345,18.442507,0.77638984,large,small,H1ESC
ENSG00000048471,16.152046,0.3449676,large,small,H1ESC
ENSG00000179044,5.277694,4.854446,large,mid,H1ESC
ENSG00000100599,15.727198,0.3417853,large,small,H1ESC
ENSG00000134138,7.4711003,1.222121,large,small,H1ESC
ENSG00000184792,9.613799,4.0730543,large,mid,H1ESC
ENSG00000168959,7.630877,3.2950912,large,mid,H1ESC
ENSG00000159231,5.8817554,4.2628527,large,mid,H1ESC
ENSG00000160216,6.1430144,0.5670137,large,small,H1ESC
ENSG00000167601,6.2892623,3.0569992,large,mid,H1ESC
ENSG00000170921,4.303233,0.5112378,large,small,H1ESC
ENSG00000105642,5.2599792,2.2951841,large,mid,H1ESC
ENSG00000170558,7.292773,1.6104393,large,small,H1ESC
ENSG00000169826,12.871062,5.311632,large,mid,H1ESC
ENSG00000171962,6.7697935,4.5710845,large,mid,H1ESC
ENSG00000265800,5.0298934,4.479419,large,mid,H1ESC
ENSG00000182534,4.211761,2.9008193,large,mid,H1ESC
ENSG00000170004,7.544107,2.510648,large,mid,H1ESC
ENSG00000174306,7.2624054,0.3686668,large,small,H1ESC
ENSG00000245904,37.045467,0.75620633,large,small,H1ESC
ENSG00000259207,6.5640507,4.361775,large,mid,H1ESC
ENSG00000167740,9.488215,3.124977,large,mid,H1ESC
ENSG00000267041,3.1938086,2.1167588,large,mid,H1ESC
ENSG00000260808,7.5301967,5.3827753,large,mid,H1ESC
ENSG00000103227,10.837281,2.7788231,large,mid,H1ESC
ENSG00000100417,6.3136854,2.9821382,large,mid,H1ESC
ENSG00000102471,14.61972,3.595886,large,mid,H1ESC
ENSG00000177469,4.7667565,3.7969449,large,mid,H1ESC
ENSG00000185022,4.660734,0.71898866,large,small,H1ESC
ENSG00000157890,9.068231,1.4052081,large,small,H1ESC
ENSG00000232855,16.819416,0.230836,large,small,H1ESC
ENSG00000138346,11.165934,8.245995,large,mid,H1ESC
ENSG00000141905,5.3285284,2.3913157,large,mid,H1ESC
ENSG00000180332,13.934348,1.2477136,large,small,H1ESC
ENSG00000108854,3.9726267,3.4980314,large,mid,H1ESC
ENSG00000166676,14.917117,2.2938395,large,mid,H1ESC
ENSG00000142273,4.8329945,4.8608212,large,mid,H1ESC
ENSG00000177380,3.8692079,3.0839932,large,mid,H1ESC
ENSG00000175730,5.467822,1.6668476,large,small,H1ESC
ENSG00000019505,9.695817,7.317562,large,mid,H1ESC
ENSG00000183011,7.544107,2.510648,large,mid,H1ESC
ENSG00000136153,12.622287,3.5539005,large,mid,H1ESC
ENSG00000130511,3.5784156,2.8562624,large,mid,H1ESC
ENSG00000157368,7.3740563,5.7278333,large,mid,H1ESC
ENSG00000111058,20.454224,9.23985,large,mid,H1ESC
ENSG00000108352,4.5873203,5.47506,large,mid,H1ESC
ENSG00000105538,8.387691,0.7342225,large,small,H1ESC
ENSG00000261183,4.888294,4.0475826,large,mid,H1ESC
ENSG00000107611,9.312128,1.3534716,large,small,H1ESC
ENSG00000227258,14.786997,4.29975,large,mid,H1ESC
ENSG00000142227,4.0509257,3.5224023,large,mid,H1ESC
ENSG00000166130,14.766349,3.2212777,large,mid,H1ESC
ENSG00000166147,18.03813,4.0916176,large,mid,H1ESC
ENSG00000236829,3.8663366,5.854397,large,mid,H1ESC
ENSG00000223403,5.505295,1.2648425,large,small,H1ESC
ENSG00000105270,4.956063,2.858756,large,mid,H1ESC
ENSG00000183421,8.470868,2.5073044,large,mid,H1ESC
ENSG00000250616,3.548462,3.2178717,large,mid,H1ESC
ENSG00000270000,5.158185,3.8748834,large,mid,H1ESC
ENSG00000140398,7.2269073,3.8401709,large,mid,H1ESC
ENSG00000188662,5.4572945,1.5512947,large,small,H1ESC
ENSG00000182612,10.226228,2.8847122,large,mid,H1ESC
ENSG00000173546,6.5041237,3.540428,large,mid,H1ESC
ENSG00000126860,10.823059,1.8473256,large,small,H1ESC
ENSG00000140092,11.305964,3.1147776,large,mid,H1ESC
ENSG00000034152,10.655264,1.5607538,large,small,H1ESC
ENSG00000275023,8.002058,4.159271,large,mid,H1ESC
ENSG00000169189,9.012661,3.5060554,large,mid,H1ESC
ENSG00000104331,21.57678,7.6705275,large,mid,H1ESC
ENSG00000138193,14.307687,9.401615,large,mid,H1ESC
ENSG00000151322,6.5584936,2.7780428,large,mid,H1ESC
ENSG00000185527,4.5903153,2.5740445,large,mid,H1ESC
ENSG00000183963,5.8316984,2.2005122,large,small,H1ESC
ENSG00000166479,7.058167,2.8382046,large,mid,H1ESC
ENSG00000101489,7.6608715,0.42686853,large,small,H1ESC
ENSG00000103196,4.758151,0.84372693,large,small,H1ESC
ENSG00000101160,5.4146495,0.7107179,large,small,H1ESC
ENSG00000078328,14.862892,5.13249,large,mid,H1ESC
ENSG00000185046,18.794378,7.4966793,large,mid,H1ESC
ENSG00000100299,4.22489,2.4383333,large,mid,H1ESC
ENSG00000184602,7.265848,4.5925546,large,mid,H1ESC
ENSG00000276023,5.613129,2.988609,large,mid,H1ESC
ENSG00000099957,6.179554,5.192257,large,mid,H1ESC
ENSG00000207561,4.389348,5.5855126,large,mid,H1ESC
ENSG00000108557,3.9896197,0.826606,large,small,H1ESC
ENSG00000101439,9.219571,3.4488502,large,mid,H1ESC
ENSG00000213965,4.8669815,3.3255146,large,mid,H1ESC
ENSG00000179954,4.57732,2.015373,large,mid,H1ESC
ENSG00000172081,7.307912,2.1690383,large,mid,H1ESC
ENSG00000107798,8.903904,4.5376353,large,mid,H1ESC
ENSG00000104147,4.832273,0.37605175,large,small,H1ESC
ENSG00000120675,14.117456,3.1058996,large,mid,H1ESC
ENSG00000100346,3.983855,4.84072,large,mid,H1ESC
ENSG00000148516,23.374739,7.390192,large,mid,H1ESC
ENSG00000076641,16.950289,13.943496,large,mid,H1ESC
ENSG00000100003,4.3055415,1.3463669,large,small,H1ESC
ENSG00000184828,9.29398,6.074383,large,mid,H1ESC
ENSG00000101336,7.697012,5.0288734,large,mid,H1ESC
ENSG00000100027,4.076736,4.4733534,large,mid,H1ESC
ENSG00000257219,15.329599,2.1383283,large,small,H1ESC
ENSG00000027075,9.155732,0.46697164,large,small,H1ESC
ENSG00000118680,7.4186397,5.5399146,large,mid,H1ESC
ENSG00000136478,7.987682,5.9480686,large,mid,H1ESC
ENSG00000070388,3.5308466,4.0222163,large,mid,H1ESC
ENSG00000277399,4.949251,4.3670087,large,mid,H1ESC
ENSG00000065320,6.072337,3.5929055,large,mid,H1ESC
ENSG00000130529,3.030727,4.8845916,large,mid,H1ESC
ENSG00000100918,4.3352885,3.2923975,large,mid,H1ESC
ENSG00000141576,7.2243485,2.3641233,large,mid,H1ESC
ENSG00000168398,13.919076,0.58397764,large,small,H1ESC
ENSG00000108819,5.726026,1.7301723,large,small,H1ESC
ENSG00000089847,3.351969,1.5412047,large,small,H1ESC
ENSG00000157554,7.5807214,1.6910768,large,mid,H1ESC
ENSG00000254995,5.0099025,2.4348435,large,mid,H1ESC
ENSG00000268889,3.052374,2.2869606,large,mid,H1ESC
ENSG00000133424,4.674555,0.861847,large,small,H1ESC
ENSG00000186469,5.4918623,1.1067477,large,small,H1ESC
ENSG00000140937,13.734357,0.33178493,large,small,H1ESC
ENSG00000206129,45.77085,1.8765235,large,small,H1ESC
ENSG00000102934,3.771634,4.179549,large,mid,H1ESC
ENSG00000072110,8.652552,4.0143514,large,mid,H1ESC
ENSG00000205189,18.106077,7.138864,large,mid,H1ESC
ENSG00000103335,6.079418,1.8792938,large,small,H1ESC
ENSG00000171302,3.9354424,5.6652546,large,mid,H1ESC
ENSG00000105329,6.9405055,2.0200348,large,mid,H1ESC
ENSG00000171451,19.872488,0.25274268,large,small,H1ESC
ENSG00000267260,3.1938086,2.1167588,large,mid,H1ESC
ENSG00000176014,6.679136,4.2188582,large,mid,H1ESC
ENSG00000247134,26.783928,0.7517051,large,small,H1ESC
ENSG00000154229,9.727615,0.8382095,large,small,GM12878
ENSG00000141068,2.0584831,0.5346338,mid,small,GM12878
ENSG00000262801,7.077721,1.8190383,large,small,GM12878
ENSG00000180233,2.9593298,2.3911939,mid,small,GM12878
ENSG00000077150,1.6905153,1.28928,mid,small,GM12878
ENSG00000069424,6.321858,3.4205723,mid,small,GM12878
ENSG00000145623,10.431458,2.3873236,mid,small,GM12878
ENSG00000198795,6.0642424,1.7024692,large,small,GM12878
ENSG00000109501,2.7069657,3.1215987,mid,small,GM12878
ENSG00000186088,5.306723,1.4304793,mid,small,GM12878
ENSG00000266088,5.5296116,2.2319508,large,small,GM12878
ENSG00000166813,5.6084723,0.39743215,large,small,GM12878
ENSG00000138131,2.516578,1.7796973,mid,small,GM12878
ENSG00000142798,7.1811066,0.47186306,mid,small,GM12878
ENSG00000075426,9.266803,0.8274162,mid,small,GM12878
ENSG00000265625,1.536917,1.5369239,mid,small,GM12878
ENSG00000182054,1.1314682,1.3367372,mid,small,GM12878
ENSG00000267257,4.893178,1.0128298,large,small,GM12878
ENSG00000241749,12.611887,1.659238,large,small,GM12878
ENSG00000078177,6.259061,0.43576756,mid,small,GM12878
ENSG00000143869,5.3758183,1.6490551,mid,small,GM12878
ENSG00000011028,4.838825,0.23980097,large,small,GM12878
ENSG00000164291,11.153849,5.3816433,mid,small,GM12878
ENSG00000133687,19.389957,0.14653923,large,small,GM12878
ENSG00000271978,3.5883913,1.3339962,mid,small,GM12878
ENSG00000039560,13.042002,0.8080796,mid,small,GM12878
ENSG00000185561,3.1752381,1.5179127,mid,small,GM12878
ENSG00000140009,2.8431535,1.533638,mid,small,GM12878
ENSG00000100852,5.0920086,0.72872615,large,small,GM12878
ENSG00000142089,1.5793492,2.3970628,mid,small,GM12878
ENSG00000177699,2.365023,0.6554493,mid,small,GM12878
ENSG00000167676,1.1273124,1.4165981,mid,small,GM12878
ENSG00000104951,2.9384832,1.0806044,mid,small,GM12878
ENSG00000264456,2.557895,0.6497506,mid,small,GM12878
ENSG00000169814,8.611703,6.571726,mid,small,GM12878
ENSG00000196639,14.818683,5.97945,mid,small,GM12878
ENSG00000185262,1.677894,1.0197225,mid,small,GM12878
ENSG00000008441,4.118479,1.1654608,large,small,GM12878
ENSG00000145244,2.9126682,2.699758,mid,small,GM12878
ENSG00000184588,18.256721,4.7428126,mid,small,GM12878
ENSG00000232445,4.4093432,0.79435927,mid,small,GM12878
ENSG00000119866,5.480853,5.6612687,mid,small,GM12878
ENSG00000067208,8.437432,4.623944,mid,small,GM12878
ENSG00000185507,7.7785826,0.61516315,large,small,GM12878
ENSG00000033122,15.327475,1.8229254,mid,small,GM12878
ENSG00000259151,3.6224506,1.0487561,large,small,GM12878
ENSG00000099625,2.0926125,1.7251649,mid,small,GM12878
ENSG00000133216,4.255397,1.3345397,mid,small,GM12878
ENSG00000126785,2.6993616,1.3397893,mid,small,GM12878
ENSG00000181894,0.9798733,1.5503533,mid,small,GM12878
ENSG00000171517,10.993893,1.7070787,mid,small,GM12878
ENSG00000166313,6.842715,2.1187093,large,small,GM12878
ENSG00000141198,15.820173,2.164788,large,small,GM12878
ENSG00000187720,28.76417,1.4512608,large,small,GM12878
ENSG00000104611,7.0067177,1.264821,mid,small,GM12878
ENSG00000106125,8.168048,3.062939,mid,small,GM12878
ENSG00000070371,13.913616,2.0719852,large,small,GM12878
ENSG00000168071,2.7025354,2.082104,mid,small,GM12878
ENSG00000169490,2.1755517,0.33193743,mid,small,GM12878
ENSG00000169902,16.209173,4.2912784,mid,small,GM12878
ENSG00000166900,8.209002,2.3726869,large,small,GM12878
ENSG00000035403,1.3647609,1.945779,mid,small,GM12878
ENSG00000163293,4.2234697,5.025574,mid,small,GM12878
ENSG00000217801,3.9998848,2.187293,mid,small,GM12878
ENSG00000108622,2.5923111,2.1887498,mid,small,GM12878
ENSG00000198792,4.9815974,1.9165589,large,small,GM12878
ENSG00000101188,7.8979664,1.6873394,large,small,GM12878
ENSG00000124772,3.8798912,3.7577932,mid,small,GM12878
ENSG00000125378,6.71351,0.43004975,large,small,GM12878
ENSG00000116729,15.6975355,4.2521367,mid,small,GM12878
ENSG00000173567,4.3791447,2.255727,mid,small,GM12878
ENSG00000141449,10.8245945,0.49927688,large,small,GM12878
ENSG00000188501,1.0721431,0.2861804,mid,small,GM12878
ENSG00000104081,2.9143598,1.4922423,mid,small,GM12878
ENSG00000137207,2.2549622,3.172435,mid,small,GM12878
ENSG00000104998,2.1552732,1.2057072,mid,small,GM12878
ENSG00000013364,1.0547707,1.0334694,mid,small,GM12878
ENSG00000099377,2.015629,0.2168188,mid,small,GM12878
ENSG00000170017,141.58714,0.29364207,mid,small,GM12878
ENSG00000214944,7.4872065,3.9713693,mid,small,GM12878
ENSG00000132000,1.4111619,1.1547153,mid,small,GM12878
ENSG00000151067,7.8878083,0.90491605,mid,small,GM12878
